GeneId	ERR2012000_ctrol1	ERR2012001_ctrol2	ERR2012003_ctrol3	ERR2012004_ctrol4	ERR2012005_msus1	ERR2012006_msus2	ERR2012007_msus3	ERR2012008_msus4	ERR2012009_msus5	ERR2012010_msus6
4933401J01Rik	6	1	0	0	2	5	0	6	1	0
Gm26206	0	0	0	0	0	0	0	0	0	0
Xkr4	16	2	4	12	5	27	23	4	3	0
Gm18956	0	0	2	0	0	0	0	0	0	0
Gm37180	24	3	2	3	0	11	8	7	5	0
Gm37363	6	2	1	3	1	0	3	0	7	0
Gm37686	12	0	2	0	1	0	0	4	1	0
Gm1992	0	0	0	0	0	0	0	0	0	0
Gm37329	40	4	1	1	0	0	3	6	1	0
Gm7341	0	1	0	0	0	0	0	0	0	0
Gm38148	0	1	1	0	0	5	0	7	1	0
Gm19938	10	1	6	0	1	11	5	0	3	0
Gm10568	0	1	2	0	0	3	0	3	0	2
Gm38385	19	0	2	0	1	4	3	0	2	5
Gm27396	4	0	0	0	0	0	0	0	0	0
Gm37381	7	2	2	2	0	2	0	4	2	0
Rp1	178	90	86	142	86	115	122	243	372	44
Gm6101	0	0	2	0	0	5	0	0	2	0
Gm37483	39	1	4	3	0	4	0	1	2	0
Sox17	18	2	3	0	3	0	2	0	8	0
Gm37587	24	1	0	0	0	1	0	3	1	2
Gm7357	47	0	3	1	0	4	1	3	7	0
Gm22307	3	0	0	0	0	1	0	2	0	0
Gm38076	0	0	0	0	0	0	0	0	0	0
Gm37323	20	3	12	0	1	0	1	3	9	0
Gm7369	6	0	3	0	0	0	2	5	1	0
Gm6085	0	0	2	0	1	0	0	0	0	1
Gm6119	0	1	0	0	0	5	0	0	0	0
U6	0	0	0	0	0	0	0	0	0	0
Gm2053	2	1	0	0	0	1	2	0	0	0
Gm6123	7	1	1	0	0	6	0	0	1	0
Mrpl15	48	11	52	34	22	103	90	60	139	31
Gm37144	9	0	0	1	0	0	3	0	0	10
Lypla1	159	181	1097	135	119	146	275	207	361	44
Gm37988	0	0	0	0	0	0	0	0	0	0
Tcea1	129	48	96	127	73	228	189	246	253	50
Gm6104	0	1	0	0	0	2	0	4	6	0
Gm37277	6	1	2	0	0	5	1	1	0	0
Rgs20	31	1	5	0	1	4	2	12	4	7
Gm17100	0	0	0	0	0	10	0	3	2	0
Gm37079	26	0	1	0	0	0	1	0	2	0
Gm16041	21	1	2	4	1	2	6	0	3	0
Gm17101	7	0	1	1	0	0	2	0	1	0
Atp6v1h	214	72	204	154	127	385	375	373	494	157
Gm7182	0	0	0	0	0	0	3	0	1	2
Gm37567	4	1	0	0	0	0	0	2	0	0
Gm38264	0	0	3	3	0	3	0	0	1	0
Oprk1	40	2	2	3	0	0	4	20	10	0
Gm36965	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076544	0	0	0	0	0	0	0	0	1	0
Gm37429	13	3	0	0	0	0	1	3	0	0
Npbwr1	22	0	2	3	0	0	4	1	4	0
Gm19214	3	1	2	0	0	0	0	0	0	0
Rb1cc1	394	125	209	276	196	478	446	564	782	81
4732440D04Rik	37	2	4	5	3	0	10	3	4	0
Alkal1	11	1	0	0	0	0	0	1	0	0
Gm2147	3	0	0	0	0	3	0	0	1	0
Gm7417	0	0	0	0	0	0	6	2	1	0
Gm19026	19	1	4	2	0	9	3	15	5	5
St18	51	14	17	28	18	45	28	40	50	2
Gm42492	8	1	2	9	0	0	3	7	0	0
Gm7449	0	0	3	2	0	2	0	9	2	0
Gm37108	3	1	2	0	0	1	2	0	2	0
Gm37275	0	0	0	1	0	0	0	0	0	0
Gm37225	15	0	0	0	0	3	1	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0
Gm5694	3	1	0	0	0	0	0	0	1	0
Pcmtd1	120	83	269	199	108	503	471	329	507	71
Gm26983	14	0	2	0	0	11	0	0	2	0
Gm38372	23	1	14	3	2	16	10	8	11	8
Gm9826	0	0	0	0	0	0	2	8	2	0
Nras-ps2	6	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0
Gm19002	2	0	0	0	0	0	0	0	0	0
Gm26901	99	3	1	3	0	13	4	19	12	0
Gm18984	10	1	1	0	0	0	0	0	1	0
Gm30414	42	3	8	19	2	24	22	74	34	0
Gm37791	6	0	0	0	0	0	0	0	0	0
Gm7470	14	0	0	0	0	2	1	0	1	0
Rps2-ps2	2	0	0	1	0	1	1	1	0	0
Gm38216	0	2	6	0	0	0	3	15	2	0
Sntg1	121	46	28	43	30	33	52	88	109	26
Gm38024	4	0	3	3	1	5	3	3	1	0
Gm16284	10	1	1	0	0	1	0	0	2	0
Gm38259	61	6	5	3	0	9	7	9	7	0
ENSMUSG00002074990	0	0	1	0	0	7	2	1	0	0
Gm37005	12	0	0	0	0	0	0	5	1	0
Gm15452	0	0	0	0	0	0	2	3	4	0
Gm36964	0	0	0	0	0	1	0	2	0	0
ENSMUSG00002075967	6	0	0	0	0	0	0	0	0	0
Gm6152	0	0	1	0	0	0	0	0	0	0
Gm7445	0	0	1	0	0	0	0	0	0	0
Gm7493	0	0	0	0	0	0	0	0	0	0
Gm37629	4	3	3	0	0	4	0	1	1	0
Gm38008	0	1	0	0	0	0	1	0	0	0
