GeneId	Mouse-SRR3480379_trimmed	Mouse-SRR3480380_trimmed	Mouse-SRR3480381_trimmed	Mouse-SRR3480382_trimmed
4933401J01Rik	0	0	0	0
Gm26206	0	0	0	0
Xkr4	0	0	2	0
Gm18956	0	0	0	0
Gm37180	0	0	0	0
Gm37363	0	0	0	0
Gm37686	0	0	0	0
Gm1992	0	0	0	0
Gm37329	0	0	0	0
Gm7341	0	0	0	1
Gm38148	0	0	0	0
Gm19938	1	0	0	0
Gm10568	0	0	0	0
Gm38385	0	0	0	0
Gm27396	0	0	0	0
Gm37381	0	0	0	0
Rp1	0	11	25	14
Gm6101	0	0	0	0
Gm37483	1	0	0	0
Sox17	1	0	0	1
Gm37587	1	0	2	6
Gm7357	0	0	1	1
Gm22307	0	0	0	2
Gm38076	0	0	0	0
Gm37323	0	0	0	0
Gm7369	0	0	0	0
Gm6085	0	0	0	0
Gm6119	0	0	1	0
U6	0	0	0	0
Gm2053	0	0	0	0
Gm6123	0	0	1	0
Mrpl15	16	5	18	8
Gm37144	0	0	0	0
Lypla1	36	7	18	13
Gm37988	0	0	0	0
Tcea1	6	13	12	8
Gm6104	0	0	0	0
Gm37277	0	0	1	0
Rgs20	0	0	0	0
Gm17100	0	0	0	0
Gm37079	0	0	0	0
Gm16041	1	0	0	0
Gm17101	0	0	0	0
Atp6v1h	26	10	113	37
Gm7182	0	0	0	0
Gm37567	0	0	0	0
Gm38264	0	0	0	0
Oprk1	0	0	0	0
Gm36965	0	0	0	0
ENSMUSG00002076544	0	0	0	0
Gm37429	0	0	0	0
Npbwr1	0	0	0	1
Gm19214	0	0	0	0
Rb1cc1	62	41	124	74
4732440D04Rik	1	0	2	5
Alkal1	0	0	0	0
Gm2147	0	0	0	0
Gm7417	0	0	0	0
Gm19026	0	0	0	3
St18	4	2	7	6
Gm42492	0	0	0	0
Gm7449	0	0	0	0
Gm37108	0	0	0	0
Gm37275	0	0	0	0
Gm37225	0	0	0	0
Gm37489	0	0	0	0
Gm5694	0	0	0	0
Pcmtd1	8	22	112	32
Gm26983	0	0	3	1
Gm38372	4	7	45	28
Gm9826	0	0	0	0
Nras-ps2	0	0	0	0
Gm23274	0	0	0	0
Gm19002	0	0	0	0
Gm26901	1	0	5	0
Gm18984	0	0	0	0
Gm30414	0	0	1	0
Gm37791	0	0	0	0
Gm7470	0	0	0	0
Rps2-ps2	0	0	0	0
Gm38216	0	0	0	0
Sntg1	2	24	49	44
Gm38024	0	0	0	0
Gm16284	0	0	0	0
Gm38259	0	0	0	1
ENSMUSG00002074990	0	0	0	0
Gm37005	0	2	0	0
Gm15452	1	0	1	0
Gm36964	0	0	0	0
ENSMUSG00002075967	0	0	0	0
Gm6152	0	0	0	0
Gm7445	0	0	0	0
Gm7493	0	0	0	0
Gm37629	0	0	0	0
Gm38008	0	0	0	0
Gm37143	0	0	0	0
Gm6187	0	0	0	0
Gm18299	0	0	0	0
Gm7512	0	0	0	0
Gm24765	0	0	0	0
Gm18300	0	1	1	0
Rrs1	3	4	23	8
Adhfe1	0	11	26	9
2610203C22Rik	0	1	10	5
Gm6161	0	0	1	1
Vxn	1	0	4	13
Gm29520	0	0	0	0
Mybl1	2	2	8	6
Vcpip1	36	16	60	23
1700034P13Rik	0	0	7	4
Sgk3	16	5	68	21
Gm6195	0	1	3	0
U6	0	0	0	0
Mcmdc2	0	0	1	5
Snhg6	4	12	10	4
Snord87	28	191	174	155
Tcf24	0	2	6	1
E330040D14Rik	0	1	0	0
Ppp1r42	0	7	0	5
Gm15818	0	0	0	0
Gm24674	0	0	0	0
Cops5	19	12	54	33
Cspp1	20	43	161	101
1700047N06Rik	0	0	0	0
Arfgef1	137	49	309	104
7SK	0	0	0	0
Gm37569	2	1	9	3
Cpa6	0	0	0	0
Gm38005	0	0	0	0
Gm15604	0	0	1	0
Gm25253	0	0	0	0
Gm15603	1	0	0	0
Gm37133	0	0	1	0
Gm5522	0	0	7	1
Gm28659	0	0	2	0
SNORA66	0	0	0	1
Prex2	7	4	173	18
Gm24173	0	0	0	0
Gm28686	0	0	0	0
Gm37410	0	0	0	0
A830018L16Rik	0	0	1	0
Gm38178	0	0	0	0
Gm29273	0	0	0	0
Gm38069	0	0	0	0
Gm7560	0	0	0	0
Gm22633	0	0	0	2
Mir6341	0	0	0	0
Gm2383	0	0	0	0
Gm6216	0	0	1	0
Gm17644	0	0	0	0
Gm29663	0	0	0	0
Sulf1	11	1	30	9
Slco5a1	0	0	12	0
Gm37162	0	0	0	0
Gm5250	0	0	0	0
Gm29283	0	0	2	0
Prdm14	0	1	0	0
Ncoa2	47	100	348	176
Gm38376	1	0	7	6
Gm37409	0	3	4	6
ENSMUSG00002076346	1	0	2	0
Gm38223	0	2	9	2
Gm37702	0	4	11	7
Gm23169	0	0	2	0
Gm38120	7	9	47	17
Gm38380	2	3	34	10
Gm29570	0	0	2	0
Gm7593	0	2	6	0
Tram1	37	40	195	65
Lactb2	17	10	43	17
Gm38319	2	0	9	1
Xkr9	4	0	0	0
Gm26273	0	0	0	0
Gm5523	0	3	0	2
Gm36947	0	0	0	0
7SK	0	0	0	1
Gm37400	0	0	0	0
Eya1	1	0	1	1
ENSMUSG00002075819	0	0	0	0
Gm37444	0	0	0	0
Gm9947	0	0	0	0
Msc	0	0	0	0
Gm37412	0	0	0	0
Smt3h2-ps4	0	0	0	0
Rpl5-ps1	2	0	0	1
Trpa1	1	1	0	1
Gm26345	0	0	0	0
Gm10566	0	0	0	0
Kcnb2	1	4	1	11
Gm38116	0	0	0	0
Gm37138	0	0	0	0
Gm25227	0	0	0	0
Gm25168	0	0	0	0
Gm6060	0	0	0	0
Gm28669	0	0	0	0
Terf1	2	5	23	15
Gm37509	4	0	0	0
Sbspon	0	0	1	1
7SK	0	0	0	0
Gm7634	0	0	0	0
4930444P10Rik	2	1	1	2
Rpl7	131	84	325	73
Rdh10	11	0	11	1
Gm38249	0	0	0	0
Gm28095	0	0	1	1
Stau2	10	32	44	26
Gm7568	0	2	3	2
Ube2w	6	8	29	9
Gm38342	1	0	0	2
Eloc	11	8	19	16
D030040B21Rik	0	0	0	0
Idi1-ps5	0	0	0	0
Tmem70	10	3	13	7
Ly96	0	2	7	1
Gm29649	0	0	0	0
Gm5828	0	0	1	0
Gm28376	0	0	0	0
4921511E07Rik	0	0	1	0
Jph1	1	4	14	7
Gm28783	0	0	0	0
Gdap1	0	0	4	2
Gm28784	0	0	0	0
Gm28785	0	0	0	0
Gm5251	0	0	0	0
Rbm6-ps1	0	0	0	1
Gm6075	0	0	0	0
Gm25166	0	0	0	0
Pi15	4	0	6	1
Gm28154	0	0	0	0
Gm16070	0	0	0	1
Crispld1	0	0	3	0
Gm28153	0	0	0	0
Gm7690	0	0	0	0
Gm18775	0	0	0	0
Gm17969	0	0	0	0
Gm28756	0	0	1	1
Gm28755	0	0	0	0
Gm45784	0	0	0	0
Crisp4	0	9	187	17
Defb44-ps	0	0	1	0
Defb18	0	0	67	1
Defb41	0	2	139	8
Gm17837	0	0	13	0
Gm5252	0	0	0	0
Gm24075	0	0	0	0
Gm28343	0	0	0	0
Gm28344	0	0	0	0
Gm15825	0	0	0	0
Tfap2d	0	0	0	0
Gm10075	0	0	0	0
Tfap2b	0	28	191	72
Gm28340	0	0	0	0
Gm28341	0	0	0	0
Gm4849	3	4	12	3
SNORD29	0	0	0	0
Gm38382	0	2	2	0
Pkhd1	3	67	407	241
Gm37315	0	0	0	0
4930486I03Rik	0	3	0	0
Gm15795	1	2	11	7
Gm24162	0	0	5	0
Lincmd1	0	0	0	0
Mir206	0	0	0	0
Mir133b	0	0	0	0
Il17a	0	0	0	0
Il17f	1	0	0	0
Mcm3	22	2	24	10
Gm20587	0	0	0	0
Gm28065	0	0	0	0
Gm24723	0	0	0	0
6720483E21Rik	0	0	0	0
Paqr8	2	2	4	2
Gm24171	0	0	0	0
Gm28064	0	0	0	0
Efhc1	0	14	21	12
Tram2	6	6	14	3
Gm28287	0	0	0	1
Gm2693	0	0	1	0
Tmem14a	3	0	4	5
Gm38224	0	0	0	1
Gsta3	0	32	63	41
Gm28836	0	0	2	0
Gm7094	0	0	0	0
Gm4956	0	25	39	70
Gm21909	0	3	30	29
Khdc1a	0	3	19	17
Gm16329	0	2	7	3
Gm16327	0	0	0	0
