GeneId	SRR4423201_rep1	SRR4423202_rep2	SRR4423203_rep3	SRR4423204_rep4
4933401J01Rik	0	0	0	0
Gm26206	0	0	0	0
Xkr4	0	0	20	0
Gm18956	0	0	0	0
Gm37180	0	0	0	0
Gm37363	0	0	0	0
Gm37686	0	0	0	0
Gm1992	0	0	0	0
Gm37329	0	0	0	0
Gm7341	0	0	0	0
Gm38148	0	0	0	0
Gm19938	0	0	0	0
Gm10568	0	0	0	0
Gm38385	0	0	0	0
Gm27396	0	0	0	0
Gm37381	0	0	0	0
Rp1	392	850	498	385
Gm6101	0	0	0	0
Gm37483	0	0	0	0
Sox17	6	20	20	31
Gm37587	0	0	0	0
Gm7357	0	0	4	0
Gm22307	0	0	0	0
Gm38076	0	0	0	0
Gm37323	28	25	12	20
Gm7369	0	15	0	0
Gm6085	5	3	7	7
Gm6119	0	1	0	0
U6	0	2	0	0
Gm2053	0	2	0	0
Gm6123	1	1	1	5
Mrpl15	0	138	80	56
Gm37144	2	4	0	0
Lypla1	2557	4124	1623	2363
Gm37988	0	0	0	0
Tcea1	165	334	147	163
Gm6104	0	2	0	2
Gm37277	0	7	0	0
Rgs20	0	7	0	0
Gm17100	0	0	0	0
Gm37079	0	0	0	0
Gm16041	0	0	0	0
Gm17101	0	0	0	0
Atp6v1h	556	1254	633	459
Gm7182	0	0	0	0
Gm37567	0	0	0	0
Gm38264	0	0	0	0
Oprk1	0	0	0	0
Gm36965	0	0	0	0
ENSMUSG00002076544	0	0	0	0
Gm37429	0	0	0	0
Npbwr1	0	0	0	0
Gm19214	0	0	0	0
Rb1cc1	600	965	574	710
4732440D04Rik	0	18	0	10
Alkal1	0	0	0	0
Gm2147	0	0	0	0
Gm7417	10	28	0	14
Gm19026	32	132	83	98
St18	39	74	42	34
Gm42492	0	0	0	0
Gm7449	0	0	1	0
Gm37108	0	0	0	0
Gm37275	0	0	0	2
Gm37225	0	0	0	0
Gm37489	0	0	0	0
Gm5694	0	0	0	0
Pcmtd1	91	567	283	181
Gm26983	0	0	0	0
Gm38372	84	111	71	32
Gm9826	2	18	2	4
Nras-ps2	0	0	0	0
Gm23274	0	0	0	0
Gm19002	0	0	0	0
Gm26901	0	5	0	0
Gm18984	0	0	0	0
Gm30414	0	0	0	0
Gm37791	0	0	0	0
Gm7470	0	1	0	0
Rps2-ps2	0	0	1	0
Gm38216	0	0	0	0
Sntg1	489	1057	617	569
Gm38024	0	0	0	10
Gm16284	0	10	0	0
Gm38259	0	4	0	0
ENSMUSG00002074990	0	0	0	0
Gm37005	0	0	0	0
Gm15452	15	6	0	5
Gm36964	1	0	4	3
ENSMUSG00002075967	0	0	0	0
Gm6152	0	0	0	0
Gm7445	0	0	0	0
Gm7493	0	0	0	0
Gm37629	0	0	0	0
Gm38008	0	0	0	0
Gm37143	0	0	0	0
Gm6187	0	0	0	0
Gm18299	0	0	0	0
Gm7512	0	0	1	0
Gm24765	0	0	0	0
Gm18300	0	0	0	0
Rrs1	204	509	87	226
Adhfe1	118	195	99	124
2610203C22Rik	14	49	8	17
Gm6161	0	0	0	0
Vxn	0	7	0	0
Gm29520	0	0	22	0
Mybl1	62	164	32	106
Vcpip1	349	562	307	223
1700034P13Rik	6	35	0	42
Sgk3	110	64	25	27
Gm6195	0	0	0	0
U6	0	0	0	0
Mcmdc2	8	12	0	0
Snhg6	0	6	0	12
Snord87	0	0	0	0
Tcf24	14	52	31	0
E330040D14Rik	0	4	0	8
Ppp1r42	59	64	41	28
Gm15818	0	22	0	17
Gm24674	0	0	0	0
Cops5	367	515	242	414
Cspp1	1231	2333	722	1062
1700047N06Rik	15	42	0	14
Arfgef1	1363	3367	1631	1421
7SK	0	1	0	4
Gm37569	0	4	0	0
Cpa6	7	14	9	4
Gm38005	0	2	0	0
Gm15604	1	3	1	0
Gm25253	0	0	0	0
Gm15603	0	2	0	0
Gm37133	0	0	0	0
Gm5522	0	0	0	0
Gm28659	0	0	0	0
SNORA66	0	0	0	0
Prex2	19	41	0	12
Gm24173	0	0	0	0
Gm28686	0	0	0	0
Gm37410	0	0	0	0
A830018L16Rik	0	11	0	6
Gm38178	0	0	0	0
Gm29273	0	0	0	0
Gm38069	0	0	0	0
Gm7560	0	0	0	1
Gm22633	0	0	0	0
Mir6341	0	0	0	0
Gm2383	0	0	2	1
Gm6216	0	0	0	0
Gm17644	0	6	0	2
Gm29663	0	2	0	0
Sulf1	0	23	18	10
Slco5a1	0	6	0	0
Gm37162	0	0	0	0
Gm5250	0	0	0	0
Gm29283	0	0	0	0
Prdm14	0	2	0	0
Ncoa2	1519	3172	1444	1675
Gm38376	0	20	0	0
Gm37409	14	20	14	0
ENSMUSG00002076346	0	0	0	0
Gm38223	0	6	0	0
Gm37702	0	15	0	10
Gm23169	0	3	0	0
Gm38120	18	82	0	33
Gm38380	0	49	0	20
Gm29570	0	0	0	0
Gm7593	0	1	0	0
Tram1	638	1294	867	695
Lactb2	19	76	86	45
Gm38319	0	12	0	12
Xkr9	59	44	2	0
Gm26273	0	0	0	0
Gm5523	3	2	2	2
Gm36947	0	65	0	26
7SK	0	1	0	0
Gm37400	0	0	0	0
Eya1	34	85	5	56
ENSMUSG00002075819	0	0	0	0
Gm37444	0	0	0	0
Gm9947	0	0	0	0
Msc	0	0	0	0
Gm37412	0	0	0	0
Smt3h2-ps4	0	0	0	0
Rpl5-ps1	2	1	0	0
Trpa1	0	0	0	0
Gm26345	0	0	0	0
Gm10566	0	0	1	0
Kcnb2	126	175	51	92
Gm38116	0	4	0	6
Gm37138	0	0	0	0
Gm25227	0	0	0	0
Gm25168	0	0	0	0
Gm6060	1	0	0	0
Gm28669	0	0	0	0
Terf1	27	232	54	103
Gm37509	8	2	0	0
Sbspon	20	4	0	0
7SK	0	0	0	0
Gm7634	0	0	0	0
4930444P10Rik	14	47	19	12
Rpl7	1459	2602	1377	1603
Rdh10	637	2117	409	866
Gm38249	0	0	0	0
Gm28095	0	22	48	6
Stau2	262	654	284	319
Gm7568	48	205	52	66
Ube2w	71	292	137	183
Gm38342	2	114	36	41
Eloc	41	125	77	87
D030040B21Rik	4	2	0	4
Idi1-ps5	0	0	0	0
Tmem70	43	126	44	64
Ly96	0	7	0	4
Gm29649	0	0	0	0
Gm5828	3	1	20	1
Gm28376	0	0	0	0
4921511E07Rik	0	0	0	0
Jph1	0	27	0	54
Gm28783	0	0	0	14
Gdap1	38	38	0	28
Gm28784	0	2	0	0
Gm28785	0	0	0	0
Gm5251	0	0	0	0
Rbm6-ps1	0	2	22	3
Gm6075	0	0	0	0
Gm25166	0	0	0	0
Pi15	0	3	0	0
Gm28154	0	0	0	0
Gm16070	0	0	0	0
Crispld1	0	4	0	4
Gm28153	0	0	0	0
Gm7690	2	0	2	0
Gm18775	0	0	0	0
Gm17969	0	4	0	0
Gm28756	0	2	0	0
Gm28755	0	0	0	0
Gm45784	0	0	0	0
Crisp4	0	6	0	0
Defb44-ps	0	0	0	0
Defb18	0	0	0	0
Defb41	0	0	0	0
Gm17837	0	0	0	0
Gm5252	0	0	0	0
Gm24075	0	0	0	0
Gm28343	0	0	0	0
Gm28344	0	0	0	0
Gm15825	0	0	0	0
Tfap2d	0	0	0	0
Gm10075	0	0	0	0
Tfap2b	325	560	219	188
Gm28340	0	3	1	0
Gm28341	0	0	0	0
Gm4849	31	43	24	57
SNORD29	0	0	0	0
Gm38382	0	0	0	0
Pkhd1	246	545	225	251
Gm37315	0	0	0	0
4930486I03Rik	0	4	0	22
Gm15795	0	0	0	0
Gm24162	0	0	0	0
Lincmd1	0	0	0	0
Mir206	0	0	0	0
Mir133b	0	0	0	0
Il17a	0	0	0	0
Il17f	0	0	0	0
Mcm3	497	564	227	181
Gm20587	0	0	0	0
Gm28065	0	0	0	0
Gm24723	0	0	0	0
6720483E21Rik	0	0	0	0
Paqr8	34	73	0	63
Gm24171	0	0	0	0
Gm28064	0	0	0	0
Efhc1	154	362	154	358
Tram2	72	124	82	67
Gm28287	0	0	0	0
Gm2693	0	0	0	0
Tmem14a	0	8	0	0
Gm38224	0	0	0	0
Gsta3	323	467	124	226
Gm28836	0	0	0	0
Gm7094	2	4	0	2
Gm4956	180	184	140	129
Gm21909	61	164	78	49
Khdc1a	262	428	273	240
Gm16329	0	16	0	0
Gm16327	0	6	0	4
